query,method,constraints,num_results,runtime_sec,parse_error,top1_name,top1_type,top1_price,price_detect,price_exact,type_detect,type_match,use_case_detect,use_case_match,ins_detect,ins_match,gender_detect,gender_match,constraint_exact_match,constraint_field_accuracy,num_predicted_fields,has_results,outerwear_precision_at_5,price_satisfaction_at_5,top1_type_match,top1_gender_match,hit_at_1,hit_at_3,mrr_at_5,ndcg_at_5,avg_relevance_at_5,query_category
daily jacket for city use under $1000,baseline,"{""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 1000}",5,0.031,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,everyday
daily jacket for city use under $1000,flan,"{""product_type"": ""jacket"", ""use_case"": ""everyday"", ""price_max"": 1000}",5,0.9141,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,everyday
daily jacket for city use under $1000,hybrid,"{""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 1000}",5,0.8561,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,everyday
warm jacket for hiking,baseline,"{""warmth_level"": ""medium"", ""use_case"": ""hiking"", ""product_type"": ""jacket""}",5,0.031,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
warm jacket for hiking,flan,"{""product_type"": ""jacket"", ""use_case"": ""hiking"", ""warmth_level"": ""medium""}",5,0.8421,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
warm jacket for hiking,hybrid,"{""warmth_level"": ""medium"", ""use_case"": ""hiking"", ""product_type"": ""jacket""}",5,0.8078,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
hiking jacket under $1000,baseline,"{""use_case"": ""hiking"", ""product_type"": ""jacket"", ""price_max"": 1000}",5,0.026,,Canada Goose Men's Woolford Jacket,jacket,850.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
hiking jacket under $1000,flan,"{""product_type"": ""jacket"", ""use_case"": ""hiking"", ""price_max"": 1000}",5,0.7869,,Canada Goose Men's Woolford Jacket,jacket,850.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
hiking jacket under $1000,hybrid,"{""use_case"": ""hiking"", ""product_type"": ""jacket"", ""price_max"": 1000}",5,0.9176,,Canada Goose Men's Woolford Jacket,jacket,850.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
light outdoor jacket for hiking,baseline,"{""warmth_level"": ""low"", ""use_case"": ""hiking"", ""product_type"": ""jacket""}",5,0.033,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
light outdoor jacket for hiking,flan,"{""product_type"": ""jacket"", ""use_case"": ""hiking"", ""warmth_level"": ""low""}",5,0.8551,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
light outdoor jacket for hiking,hybrid,"{""warmth_level"": ""low"", ""use_case"": ""hiking"", ""product_type"": ""jacket""}",5,0.882,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
packable hiking jacket for cold weather,baseline,"{""use_case"": ""hiking"", ""product_type"": ""jacket""}",5,0.03,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
packable hiking jacket for cold weather,flan,"{""product_type"": ""jacket"", ""use_case"": ""hiking""}",5,0.8216,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
packable hiking jacket for cold weather,hybrid,"{""use_case"": ""hiking"", ""product_type"": ""jacket""}",5,0.9221,,Canada Goose Men's Woolford Jacket,jacket,850.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
trail jacket under $900,baseline,"{""use_case"": ""hiking"", ""product_type"": ""jacket"", ""price_max"": 900}",5,0.026,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
trail jacket under $900,flan,"{""product_type"": ""jacket"", ""use_case"": ""hiking"", ""price_max"": 900}",5,0.8941,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
trail jacket under $900,hybrid,"{""use_case"": ""hiking"", ""product_type"": ""jacket"", ""price_max"": 900}",5,0.9251,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hiking
men's down vest under $800,baseline,"{""insulation"": ""down"", ""product_type"": ""vest"", ""gender"": ""men"", ""price_max"": 800}",5,0.028,,Canada Goose Men's Freestyle Crew Vest,vest,650.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,vest
men's down vest under $800,flan,"{""insulation"": ""down"", ""price_max"": 800, ""product_type"": ""vest"", ""gender"": ""men""}",5,3.4572,,Canada Goose Men's Freestyle Crew Vest,vest,650.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,vest
men's down vest under $800,hybrid,"{""insulation"": ""down"", ""product_type"": ""vest"", ""gender"": ""men"", ""price_max"": 800}",5,3.4664,,Canada Goose Men's Freestyle Crew Vest,vest,650.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,vest
women's vest under $700,baseline,"{""product_type"": ""vest"", ""gender"": ""men"", ""price_max"": 700}",5,0.024,,Canada Goose Men's Garson Vest Black Label CR,vest,595.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,vest
women's vest under $700,flan,"{""product_type"": ""vest"", ""gender"": ""men"", ""price_max"": 700}",5,0.8253,,Canada Goose Men's Garson Vest Black Label CR,vest,595.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,vest
women's vest under $700,hybrid,"{""product_type"": ""vest"", ""gender"": ""men"", ""price_max"": 700}",5,0.8025,,Canada Goose Men's Garson Vest Black Label CR,vest,595.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,vest
short down jacket for everyday commute under $1000,baseline,"{""length"": ""short"", ""insulation"": ""down"", ""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 1000}",5,0.027,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,5,1.0,1.0,0.6,1.0,,1.0,1.0,1.0,1.0,2.6,everyday
short down jacket for everyday commute under $1000,flan,"{""length"": ""short"", ""insulation"": ""down"", ""price_max"": 1000}",5,3.7368,,Canada Goose Women's Alliston Coat,jacket,1095.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4,3,1.0,1.0,0.8,1.0,,1.0,1.0,1.0,0.8850729764703047,2.2,everyday
short down jacket for everyday commute under $1000,hybrid,"{""length"": ""short"", ""insulation"": ""down"", ""use_case"": ""everyday"", ""product_type"": ""jacket"", ""price_max"": 1000}",5,3.4938,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,5,1.0,1.0,0.6,1.0,,1.0,1.0,1.0,1.0,2.6,everyday
warm hoody under $500,baseline,"{""warmth_level"": ""medium"", ""product_type"": ""hoody"", ""price_max"": 500}",5,0.029,,Canada Goose Men's Huron Men's Hoody - Updated,hoody,375.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hoody
warm hoody under $500,flan,"{""product_type"": ""hoody"", ""warmth_level"": ""medium"", ""price_max"": 500}",5,0.9047,,Canada Goose Men's Huron Men's Hoody - Updated,hoody,375.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hoody
warm hoody under $500,hybrid,"{""warmth_level"": ""medium"", ""product_type"": ""hoody"", ""price_max"": 500}",5,0.814,,Canada Goose Men's Huron Men's Hoody - Updated,hoody,375.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,hoody
sweater for casual wear,baseline,"{""use_case"": ""everyday"", ""product_type"": ""sweater""}",5,0.028,,Canada Goose Men's Stormont 1/4 Zip Sweater,sweater,525.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,everyday
sweater for casual wear,flan,"{""product_type"": ""sweater"", ""use_case"": ""everyday""}",5,0.8131,,Canada Goose Men's Stormont 1/4 Zip Sweater,sweater,525.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,everyday
sweater for casual wear,hybrid,"{""use_case"": ""everyday"", ""product_type"": ""sweater""}",5,0.804,,Canada Goose Men's Stormont 1/4 Zip Sweater,sweater,525.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,everyday
women's jacket under $1200,baseline,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1200}",5,0.027,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,gender_specific
women's jacket under $1200,flan,"{""use_case"": ""travel"", ""price_max"": 1000, ""product_type"": ""jacket"", ""gender"": ""women""}",0,3.8908,,,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,gender_specific
women's jacket under $1200,hybrid,"{""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1200, ""use_case"": ""travel""}",5,3.8118,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,4,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,gender_specific
men's parka under $1500,baseline,"{""length"": ""long"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1500}",5,0.031,,Canada Goose Women's Lorette Parka Notched Brim,parka,1195.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,extreme_cold
men's parka under $1500,flan,"{""product_type"": ""parka"", ""gender"": ""men"", ""length"": ""long"", ""price_max"": 1500}",5,0.8017,,Canada Goose Women's Lorette Parka Notched Brim,parka,1195.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,extreme_cold
men's parka under $1500,hybrid,"{""length"": ""long"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1500}",5,0.7921,,Canada Goose Women's Lorette Parka Notched Brim,parka,1195.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,extreme_cold
women's lightweight jacket,baseline,"{""warmth_level"": ""low"", ""product_type"": ""jacket"", ""gender"": ""men""}",5,0.027,,Canada Goose Women's Salida Jacket,jacket,650.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,3,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,gender_specific
women's lightweight jacket,flan,"{""product_type"": ""jacket"", ""gender"": ""men"", ""warmth_level"": ""low""}",5,0.8119,,Canada Goose Women's Salida Jacket,jacket,650.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,3,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,gender_specific
women's lightweight jacket,hybrid,"{""warmth_level"": ""low"", ""product_type"": ""jacket"", ""gender"": ""men""}",5,0.8386,,Canada Goose Women's Salida Jacket,jacket,650.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,3,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,gender_specific
men's casual hoody,baseline,"{""use_case"": ""everyday"", ""product_type"": ""hoody"", ""gender"": ""men""}",5,0.025,,Canada Goose Men's Huron Men's Hoody - Updated,hoody,375.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,3,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,hoody
men's casual hoody,flan,"{""product_type"": ""hoody"", ""gender"": ""men"", ""use_case"": ""everyday""}",5,0.8237,,Canada Goose Men's Huron Men's Hoody - Updated,hoody,375.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,3,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,hoody
men's casual hoody,hybrid,"{""use_case"": ""everyday"", ""product_type"": ""hoody"", ""gender"": ""men""}",5,0.8223,,Canada Goose Men's Huron Men's Hoody - Updated,hoody,375.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,3,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,hoody
women's down jacket for travel under $1000,baseline,"{""insulation"": ""down"", ""use_case"": ""travel"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1000}",5,0.029,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,travel
women's down jacket for travel under $1000,flan,"{""use_case"": ""travel"", ""price_max"": 1000, ""product_type"": ""jacket"", ""gender"": ""women""}",0,3.9106,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8,4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,travel
women's down jacket for travel under $1000,hybrid,"{""insulation"": ""down"", ""use_case"": ""travel"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1000}",5,4.0588,,Canada Goose Women's Cypress Jacket,jacket,895.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,travel
